ORF,Gene,Well ID,Well cell count,Mean Intensity 488nm,STD Intensity 488nm,Median Intensity 488nm
YOL030W,GAS5,16H4,28,140.45143785714285,20.372569461060888,141.57776
YCR097W,HMRA1,10H9,6,140.45200333333335,31.510078510593825,121.691975
YNL019C,YNL019C,16B20,12,140.45623499999996,37.364666410608855,116.237
YJL178C,ATG27,16O4,60,140.46667183333332,23.6358711378134,141.93861
YOR341W,RPA190,13K23,6,140.56568166666668,41.92652821293526,136.67951499999998
YGL091C,NBP35,6F16,523,140.57236472275318,14.060976610059958,142.80455
YLR057W,MNL2,3O12,23,140.64436608695655,24.05290000425648,147.53362
YNL158W,PGA1,16D8,23,140.6534591304348,25.875862734342164,151.22185
YMR215W,GAS3,16N9,38,140.6688605263158,24.03695746510461,140.35466
YDR059C,UBC5,11I11,10,140.69062100000002,25.045651570654137,151.04757
YGL250W,RMR1,13A9,6,140.74289833333333,31.005553447883763,152.623415
YHR204W,MNL1,16I8,38,140.8525152631579,19.93589772634317,143.08492
YMR117C,SPC24,10I22,1327,140.88171593067074,16.676023825488553,138.95538
YER178W,PDA1,15D21,22,140.9523281818182,18.13958017176715,146.099515
YOL014W,YOL014W,4E18,8,140.96219,27.031088072159754,149.28472499999998
YGL258W,VEL1,16C6,12,140.9780825,26.11482288064286,143.98900500000002
YHR019C,DED81,6C15,438,141.0036203881279,13.411539055284573,143.409175
YEL077C,YEL077C,13K5,13,141.05891384615384,22.2649662734708,146.99255
YDR381W,YRA1,6J12,17,141.13314000000003,18.491687939982658,144.88409
YDL054C,MCH1,1B7,5,141.18363600000004,31.59977124815194,122.64721
YGL066W,SGF73,10G24,1289,141.19437348332048,16.93414595055742,138.43875
YDL181W,INH1,15B19,1207,141.25594151615567,13.86851442408222,143.85001
YCR071C,IMG2,15B14,127,141.2645077165354,16.037439410057797,142.42168
YGR142W,BTN2,10H22,793,141.33582827238337,19.73333482259022,137.58763
YBR266C,SLM6,12A3,5,141.45103999999998,20.131913913093314,145.6073
YAR050W,FLO1,16A5,22,141.52455909090907,25.45816374475843,148.447815
YDL035C,GPR1,1B3,5,141.58637000000002,23.261310467842303,136.062
YPL079W,RPL21B,14B20,7,141.63813,35.449401137350215,157.68584
YOR337W,TEA1,6B15,1001,141.65394221778206,13.921106754366114,144.0405
YCL059C,KRR1,13A17,4,141.66956249999998,42.38888633105724,141.568035
YPL130W,SPO19,16N6,58,141.7549101724138,19.471236919211403,139.878965
YJL116C,NCA3,16M16,19,141.79028631578944,26.37169832760391,144.14821
YGL170C,SPO74,10E22,917,141.79137501635765,17.95235921575455,138.89041
